time,open,high,low,close
2020-10-28T08:00:00+08:00,181.9895,181.9895,181.9895,181.9895
2020-10-29T08:00:00+08:00,176.7071,176.7071,176.7071,176.7071
2020-10-30T08:00:00+08:00,177.4732,177.4732,177.4732,177.4732
2020-11-02T08:00:00+08:00,181.3736,181.3736,181.3736,181.3736
2020-11-03T08:00:00+08:00,181.3739,181.3739,181.3739,181.3739
2020-11-04T08:00:00+08:00,181.3804,181.3804,181.3804,181.3804
2020-11-05T08:00:00+08:00,183.2632,183.2632,183.2632,183.2632
2020-11-06T08:00:00+08:00,197.5956,197.5956,197.5956,197.5956
2020-11-09T08:00:00+08:00,200.3504,200.3504,200.3504,200.3504
2020-11-10T08:00:00+08:00,200.3504,200.3504,200.3504,200.3504
2020-11-12T08:00:00+08:00,203.065,203.065,203.065,203.065
2020-11-13T08:00:00+08:00,207.7892,207.7892,207.7892,207.7892
2020-11-16T08:00:00+08:00,204.1891,204.1891,204.1891,204.1891
2020-11-17T08:00:00+08:00,213.6608,213.6608,213.6608,213.6608
2020-11-18T08:00:00+08:00,224.1375,224.1375,224.1375,224.1375
2020-11-19T08:00:00+08:00,225.0224,225.0224,225.0224,225.0224
2020-11-20T08:00:00+08:00,224.6312,224.6312,224.6312,224.6312
2020-11-23T08:00:00+08:00,239.6169,239.6169,239.6169,239.6169
2020-11-24T08:00:00+08:00,249.3299,249.3299,249.3299,249.3299
2020-11-25T08:00:00+08:00,259.8129,259.8129,259.8129,259.8129
2020-11-27T08:00:00+08:00,228.1171,228.1171,228.1171,228.1171
2020-11-30T08:00:00+08:00,244.4678,244.4678,244.4678,244.4678
2020-12-01T08:00:00+08:00,262.1931,262.1931,262.1931,262.1931
2020-12-02T08:00:00+08:00,250.7383,250.7383,250.7383,250.7383
2020-12-03T08:00:00+08:00,255.8992,255.8992,255.8992,255.8992
2020-12-04T08:00:00+08:00,259.6611,259.6611,259.6611,259.6611
2020-12-07T08:00:00+08:00,256.7367,256.7367,256.7367,256.7367
2020-12-08T08:00:00+08:00,254.7798,254.7798,254.7798,254.7798
2020-12-09T08:00:00+08:00,241.6986,241.6986,241.6986,241.6986
